Mean squared error,Mean Absolute Error,Root Mean Squared Error,Mean Absolute Percentage Error,R2,Look back,Batch size,Epochs,LSTM values,LSTM models,Dropout values
0.6622104404073176,0.6385163909200032,0.8137631353209099,1.226742783957622,0.9856890167599325,10,16,5,50,0,0
0.6327784259399624,0.6221140069253384,0.7954737116586332,1.1994142286482794,0.9863250699539967,10,16,5,50,0,0.2
0.6577638556407057,0.6336223411759596,0.8110264210497126,1.2168798782234265,0.9857851115904993,10,16,5,50,1,0
0.7588363834336612,0.6932860535297883,0.871112153189049,1.317302362333773,0.9836008403029814,10,16,5,50,1,0.2
0.6991875203016795,0.6632689615159645,0.8361743360697454,1.2627226040047974,0.9848899076877328,10,16,5,100,0,0
0.7687966532426123,0.6943406328244333,0.8768105001895291,1.3463454016008969,0.9833855896128614,10,16,5,100,0,0.2
0.6863753325897425,0.6502788978774242,0.828477720032194,1.2461088152770603,0.9851667909750174,10,16,5,100,1,0
0.7308661654310696,0.6701864995168051,0.8549071092411559,1.3007691846835412,0.9842053027164854,10,16,5,100,1,0.2
0.6780716358311673,0.6472603094863891,0.8234510524804539,1.2469738596434783,0.9853462415814884,10,16,10,50,0,0
0.7259924995251656,0.6740826471408943,0.8520519347581846,1.3045850507497714,0.9843106271675076,10,16,10,50,0,0.2
0.6929048308273191,0.6460110918399127,0.8324090525861183,1.2516755873097407,0.9850256824479658,10,16,10,50,1,0
0.6724068633581906,0.6460038039996807,0.8200041849638272,1.2379597941081562,0.9854686625808761,10,16,10,50,1,0.2
0.6948396480760868,0.659411899098323,0.8335704217857581,1.2655863453660467,0.9849838692485202,10,16,10,100,0,0
0.7126490307965557,0.6733479665161525,0.8441854244160791,1.291530941478058,0.984598991931467,10,16,10,100,0,0.2
0.6355877026268022,0.6225918095521192,0.7972375446670849,1.1953702300658948,0.9862643588731546,10,16,10,100,1,0
0.6984857460998771,0.6619664189167512,0.83575459681648,1.2760571106192549,0.984905073680637,10,16,10,100,1,0.2
0.7563435819249015,0.6928177943839049,0.8696801607055904,1.340944751378352,0.9836547120610146,10,32,5,50,0,0
0.6403370964931253,0.625647096431243,0.8002106575728202,1.2067426258638052,0.986161720056437,10,32,5,50,0,0.2
0.7272516466218305,0.6785502115996922,0.8527905057057276,1.2893690495990202,0.9842834158281847,10,32,5,50,1,0
0.7591320168000855,0.694706225301498,0.8712818239812452,1.3124878256846253,0.983594451391098,10,32,5,50,1,0.2
0.693480092347719,0.6516262198697604,0.8327545210611101,1.2610332236829886,0.9850132505117191,10,32,5,100,0,0
0.6889801399537865,0.6555957856437488,0.830048275676654,1.2659601955892907,0.9851104986663254,10,32,5,100,0,0.2
0.7168926014254859,0.6685397612854396,0.8466951053510856,1.2916046767627964,0.9845072844251472,10,32,5,100,1,0
0.735652939865136,0.679649245016636,0.8577021277023487,1.3115422451034884,0.9841018560709481,10,32,5,100,1,0.2
0.7194959566770543,0.6754713851826984,0.8482310750479815,1.2909164405535845,0.9844510234979559,10,32,10,50,0,0
0.6848849859410556,0.6591297487268691,0.8275777824114514,1.263824482486183,0.9851989987515938,10,32,10,50,0,0.2
0.7214783480842488,0.6729869772293875,0.8493988156833331,1.296698821143016,0.9844081821767194,10,32,10,50,1,0
0.6890237099334728,0.6551993484747473,0.8300745207109256,1.2698218295324168,0.9851095570785596,10,32,10,50,1,0.2
0.695726071507674,0.6640317723975547,0.8341019551036156,1.276178328932284,0.9849647128141015,10,32,10,100,0,0
0.7178747399184434,0.6745620370720105,0.8472748904095078,1.3059854238551711,0.984486059499271,10,32,10,100,0,0.2
0.6868619895471957,0.654894332189511,0.8287713735085181,1.261975593909742,0.9851562738657469,10,32,10,100,1,0
0.6953015978572687,0.655324155871856,0.8338474667811067,1.272221430449569,0.984973886084298,10,32,10,100,1,0.2
0.6590306438078563,0.6371095900935495,0.8118070237487824,1.2093567305813517,0.9861319127547691,50,16,5,50,0,0
0.6456142690408178,0.6341494240015295,0.8035012564027624,1.2200248522102046,0.9864142356748521,50,16,5,50,0,0.2
0.7353429712423731,0.6824908255833505,0.857521411535813,1.2892215625183425,0.9845260602429138,50,16,5,50,1,0
0.7241705035654429,0.669648784560652,0.85098208181221,1.2952240516702116,0.9847611642672015,50,16,5,50,1,0.2
0.6820735107345631,0.6494979279227351,0.8258774187096795,1.2326236915138389,0.9856470180204766,50,16,5,100,0,0
0.7029942188008157,0.6603823117503994,0.8384475050954685,1.2738234050925274,0.9852067802145099,50,16,5,100,0,0.2
0.6709788234539951,0.6335954625019807,0.8191329705572808,1.2249845795015848,0.9858804852994433,50,16,5,100,1,0
0.6627007997437225,0.6403664997716234,0.8140643707617491,1.230596191684417,0.9860546810763936,50,16,5,100,1,0.2
0.7157925036493628,0.6764407562445836,0.846045213714588,1.2908286601847796,0.9849374638594411,50,16,10,50,0,0
0.720924317937574,0.6701181133380409,0.8490726222989257,1.2834635035990047,0.9848294742705747,50,16,10,50,0,0.2
0.6618844732968028,0.6410597368833023,0.8135628268897263,1.2245002757850791,0.9860718591643821,50,16,10,50,1,0
0.6969571966734031,0.6667747128970923,0.8348396233249852,1.2760308436275867,0.9853338182367187,50,16,10,50,1,0.2
0.6389496086376536,0.6233101206519523,0.799343235811534,1.1903944832276487,0.9865544811896841,50,16,10,100,0,0
0.7161438293615783,0.6672795464190553,0.8462528164571024,1.2930948679475531,0.9849300708562868,50,16,10,100,0,0.2
0.6587468692539242,0.6377319623239276,0.8116322253668371,1.2227759301307664,0.9861378842680953,50,16,10,100,1,0
0.7315693767988567,0.6758675993292601,0.8553182897605176,1.3071912875710694,0.98460546859435,50,16,10,100,1,0.2
0.7531714862107992,0.6876143349380999,0.8678545305584336,1.3278173232419128,0.9841508919508803,50,32,5,50,0,0
0.6610690313928959,0.6412612220335702,0.813061517594392,1.2267881621109338,0.9860890186387905,50,32,5,50,0,0.2
0.6595258035989287,0.6318623353113844,0.8121119403129895,1.2165585102323038,0.986121493028088,50,32,5,50,1,0
0.7040815747525171,0.6670861230648623,0.8390956886747286,1.2854169726604037,0.9851838988093029,50,32,5,50,1,0.2
0.6743720142279074,0.6385922487774781,0.8212015673559734,1.2343073216868072,0.9858090818432694,50,32,5,100,0,0
0.6369153334455746,0.6232225596085099,0.7980697547492792,1.1928292705313384,0.9865972887679199,50,32,5,100,0,0.2
0.6605169548493829,0.625507549944341,0.8127219419022614,1.2086960544771839,0.9861006360737966,50,32,5,100,1,0
0.7512817017506788,0.6788049327392579,0.8667650787558754,1.3144797708987321,0.9841906589875332,50,32,5,100,1,0.2
0.66717707593663,0.6368849416602936,0.8168090816932865,1.2255646832670875,0.9859604860805156,50,32,10,50,0,0
0.6903567900733072,0.6645627517463734,0.8308771209230082,1.2698241557401466,0.9854727116484958,50,32,10,50,0,0.2
0.6903394746476931,0.6543175898597161,0.830866700889916,1.257599167390286,0.9854730760197665,50,32,10,50,1,0
0.7195284981384672,0.6830841024238636,0.8482502567865613,1.3054673451548289,0.9848588467298593,50,32,10,50,1,0.2
0.6940095573666009,0.6578225629808033,0.8330723602224485,1.2614194630816173,0.9853958458821072,50,32,10,100,0,0
0.6444144279287495,0.623703254401807,0.8027542761821637,1.2050636949893814,0.98643948412328,50,32,10,100,0,0.2
0.6513619867057727,0.6281087414975197,0.8070700011187213,1.2092560911478747,0.9862932855327191,50,32,10,100,1,0
0.7027694329507713,0.6659014259362631,0.8383134455266547,1.281369197879766,0.9852115104191054,50,32,10,100,1,0.2
0.7187664100014189,0.6659791963282912,0.8478009259262571,1.2629275488883867,0.9863915893977243,200,16,5,50,0,0
0.655477810208454,0.6302233598764344,0.8096158411298867,1.2083243385748323,0.9875898330001543,200,16,5,50,0,0.2
0.7450525229527082,0.6751639259554715,0.8631642502749451,1.3048904416434344,0.9858939141958765,200,16,5,50,1,0
0.7343630611233845,0.6734784933442834,0.8569498591652749,1.3014763393752,0.9860962978683279,200,16,5,50,1,0.2
0.7259121957944438,0.6706595296010122,0.8520048097249474,1.2629890799472363,0.9862562981740468,200,16,5,100,0,0
