Mean squared error,Mean Absolute Error,Root Mean Squared Error,Mean Absolute Percentage Error,R2,Look back,Batch size,Epochs,LSTM values,LSTM models,Dropout values, Shift
0.6991976274764333,0.6617746544738622,0.8361803797485524,1.2570286289684351,0.9849015952303976,10,16,5,50,0,0,1
4.3439384580197435,1.7346221145082386,2.08421171141987,3.342020110736548,0.9064956456516272,10,16,5,50,0,0,5
11.208689745795963,2.804081539257142,3.3479381335078404,5.412015968394921,0.7596402870699549,10,16,5,50,0,0,10
68.29466397407313,7.357753963152604,8.264058565503582,14.319226720256307,-0.4444078492920349,10,16,5,50,0,0,30
0.6979820868767146,0.660367812957739,0.8354532224348139,1.2536018377108435,0.9849278434945038,10,16,5,50,0,0.2,1
3.891426497377043,1.6187103882839606,1.9726698906246436,3.1161652957229,0.9162360780089724,10,16,5,50,0,0.2,5
12.812864440738785,3.0528654576692102,3.579506172747686,5.94088756802423,0.7252402833308276,10,16,5,50,0,0.2,10
78.66371589506151,7.942653365299519,8.869256783691716,15.401854788368738,-0.6637096089445618,10,16,5,50,0,0.2,30
0.6887306930350946,0.6561313139391961,0.8298980015851916,1.2507923262426233,0.9851276171828213,10,16,10,50,0,0,1
4.756951730281686,1.818379619614961,2.181043724981617,3.4924418635143657,0.8976054323731991,10,16,10,50,0,0,5
29.105865171045547,4.38165575080736,5.394985187286944,8.500101141579028,0.3758523470848103,10,16,10,50,0,0,10
49.62228362085759,6.105290134549747,7.044308597787123,11.913362165634608,-0.04949364695567371,10,16,10,50,0,0,30
0.6900735198659939,0.6591266222905677,0.830706638871987,1.2697761098306828,0.9850986203123633,10,16,10,50,0,0.2,1
4.899390251902841,1.853606734629354,2.2134566297767937,3.575798348201974,0.8945394078134049,10,16,10,50,0,0.2,5
26.08224571990212,4.288690942829878,5.107078002136067,8.317711417309594,0.4406909963621817,10,16,10,50,0,0.2,10
86.79674145372137,7.988173926141046,9.316476879900543,15.754234101026762,-0.83572020643254,10,16,10,50,0,0.2,30
0.6556945657483412,0.6266093737721367,0.8097496932684453,1.2003084799602155,0.9875970749443713,200,16,5,50,0,0,1
4.266009458013834,1.6949209412815134,2.065432026965263,3.2824105950531854,0.9194223585880839,200,16,5,50,0,0,5
9.511328172833847,2.59025663144713,3.084044126278651,4.970766756232767,0.8208068591429253,200,16,5,50,0,0,10
17.553023240206812,3.463213859561193,4.189632828805743,6.683845062534386,0.6750344567052525,200,16,5,50,0,0,30
0.6959741166648117,0.6550022173812418,0.8342506318036634,1.232646469188432,0.9868351588367988,200,16,5,50,0,0.2,1
3.9196857439265305,1.6183837452175798,1.9798196240886519,3.0861365703533834,0.925963822764575,200,16,5,50,0,0.2,5
11.366578722322137,2.901966871302714,3.3714357063901037,5.517981041531119,0.7858539937808453,200,16,5,50,0,0.2,10
21.292485430075953,3.948302290228818,4.614378119538531,7.598010535320254,0.6058044246172489,200,16,5,50,0,0.2,30
0.7571430457600398,0.6888199584494367,0.8701396702599186,1.3282791543630441,0.9856781054114204,200,16,10,50,0,0,1
6.426460805466624,2.0356753676820416,2.535046509527315,3.8752631488891236,0.8786151180799975,200,16,10,50,0,0,5
8.684531878134942,2.4699783258920918,2.946952982002757,4.725169958753547,0.8363836768285194,200,16,10,50,0,0,10
29.621811604825414,4.415896884887458,5.442592360706929,8.428455159986605,0.4516005607804727,200,16,10,50,0,0,30
0.7076992308473841,0.6575136541571351,0.8412486141726381,1.263979506065359,0.9866133700344025,200,16,10,50,0,0.2,1
6.54353942695945,2.0976637375919527,2.558034289637152,4.058161423518141,0.8764037026406978,200,16,10,50,0,0.2,5
6.644810461528683,2.0623070046866614,2.57775298691102,3.942060223994163,0.8748119678593206,200,16,10,50,0,0.2,10
34.04071378885867,4.8499903196598755,5.834442028922617,9.538914897079003,0.36979180741931716,200,16,10,50,0,0.2,30
