Mean squared error,Mean Absolute Error,Root Mean Squared Error,Mean Absolute Percentage Error,R2,Look back,Batch size,Epochs,neurons,Layers,Dropout values
0.7410242925269918,0.6762319988233126,0.8608276787644503,1.3103901351964815,0.9839857761464561,10,16,5,50,0,0
0.6814564250297226,0.6481662787385598,0.8255037401670101,1.2524297001676057,0.9852730931402438,10,16,5,50,0,0.2
0.7161097687368615,0.6634525533453135,0.846232691838871,1.2828770319580975,0.9845242021673076,10,16,5,100,0,0
0.698439188109007,0.6569082851092999,0.8357267424876429,1.267786986083739,0.9849060798421022,10,16,5,100,0,0.2
0.7414567979693061,0.675891815889212,0.8610788569981881,1.3007839474802667,0.9839764293017698,10,16,10,50,0,0
0.9530290079562375,0.7627758110073775,0.9762320461633276,1.4417829150757524,0.9794041571561891,10,16,10,50,0,0.2
0.6998811219302399,0.6449868313581026,0.8365889802825758,1.2429581052085057,0.984874918311734,10,16,10,100,0,0
0.8847970956281145,0.738909350644821,0.9406365374724259,1.4161563972153424,0.9808787122132869,10,16,10,100,0,0.2
0.6788900140656957,0.6419359785877757,0.8239478224169876,1.239416827535794,0.9857140088500588,50,16,5,50,0,0
0.7634820868816486,0.6841862993347977,0.8737746201862633,1.2961897204366906,0.9839339243318515,50,16,5,50,0,0.2
